web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,Harga_produk
"1707541639-121","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips 220G","","Rp 29.900"
"1707541639-122","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 55G","","Rp 9.400"
"1707541639-123","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 170G","","Rp 21.900"
"1707541639-124","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 34G","","Rp 7.900"
"1707541639-125","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 55G","","Rp 9.400"
"1707541639-126","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Butter 170G","","Rp 28.500"
"1707541639-127","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 170G","","Rp 28.500"
"1707541639-128","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Coklat Almond 30G","","Rp 9.900"
"1707541639-129","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Raisin Almond 30G","","Rp 9.900"
"1707541639-130","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Strawberry 30G","","Rp 9.900"
"1707541639-131","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Tropical Cranberries 30G","","Rp 9.900"
"1707541639-132","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Kurma Tj 150G","","Rp 22.400"
"1707541639-133","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 150G","","Rp 22.400"
"1707541639-134","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 500G","","Rp 61.900"
"1707541639-135","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener No Calori Diabetics 50X2g","","Rp 50.800"
"1707541639-136","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes 60G","","Rp 8.900"
"1707541639-137","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Honey Crunch 55G","","Rp 10.900"
"1707541639-138","https://www.klikindomaret.com/category/sarapan","Lotus Spread Crunchy 380g","","Rp 64.000"
"1707541639-139","https://www.klikindomaret.com/category/sarapan","Uray 100% Natural Honey 150G","","Rp 25.500"
